Removed Member From Class: ClassName=LCA_V2 Member=F1
Removed Member From Class: ClassName=LCA_V2 Member=F2
Change Component Footprint: Designator=U5 Old Footprint=DDA0008E_M New Footprint=EC200T-CN
Change Component Comment : Designator=U5 Old Comment=TPS7A7001DDAR New Comment=EC200T-EU
Change Managed Component Library Link : Designator=U5 Old VaultGUID=B7D15EC3-160A-466F-A46C-7801FE6295A7 New VaultGUID= Old ItemGUID=E52E5B43-76C8-4A1D-8B53-E47AB64C795A New ItemGUID= Old RevisionGUID=00B1D3E6-D532-47A7-8106-F6C98D3CF06B New RevisionGUID=
Change component parameters: Designator = "U5" ("U5"); Footprint = "DDA0008E_M"; UniqueID = "\LDSSLQKD" ("\LDSSLQKD")
Add component (AddParameter): Name = "Manufacturer"; Value = "Linear Technology"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Max Charge Current(A)"; Value = "0.15"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Mounting Technology"; Value = "Surface Mount"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Number of Cells"; Value = "1"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "PackageDescription"; Value = "5-Pin Plastic TSOT-23, Body 1.63 x 2.90 mm, Pitch 0.95 mm"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "PackageReference"; Value = "S5-5"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "PackageVersion"; Value = "Jun-10"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Packing"; Value = "Tape and Reel"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "PartNumber"; Value = "LTC4054LES5-4.2#TRPBF"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "RoHS"; Value = "TRUE"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Type of Charger"; Value = "Linear"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Vin Max(V)"; Value = "6.5"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Vin Min(V)"; Value = "4.25"; VariantName = "[No Variations]"
Added Component: Designator=U9(DDA0008E_M)
Add component (AddParameter): Name = "Accuracy(%)"; Value = "2"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Code_JEDEC"; Value = "MS-012"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink1Description"; Value = "Manufacturer URL"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink1URL"; Value = "http://www.ti.com/"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink2Description"; Value = "Datasheet"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink2URL"; Value = "http://www.ti.com/general/docs/lit/getliterature.tsp?genericPartNumber=TPS7A7001&fileType=pdf"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink3Description"; Value = "Package Specification"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink3URL"; Value = "http://www.ti.com/litv/pdf/mpds092e"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "DatasheetVersion"; Value = "SBVS134B"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Eco-Plan"; Value = "Green (RoHS & no Sb/Br)"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Iout(Max)(A)"; Value = "2"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Iq(Typ)(mA)"; Value = "0.01"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer"; Value = "Texas Instruments"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Mounting Technology"; Value = "Surface Mount"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "PackageDescription"; Value = "8-Pin Plastic Small Outline, Body 3.9 x 4.9 mm, Pitch 1.27 mm"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "PackageReference"; Value = "DDA0008E"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "PackageVersion"; Value = "4202561/F"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "PartNumber"; Value = "TPS7A7001DDAR"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "SubFamily"; Value = "Single Channel LDO"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Vdo(Typ)(mV)"; Value = "170"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Vin(Max)(V)"; Value = "6.5"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Vin(Min)(V)"; Value = "1.5"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Vout Adj(Max)(V)"; Value = "5"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Vout Adj(Min)(V)"; Value = "0.9"; VariantName = "[No Variations]"
Added Pin To Net: NetName=NetU4_85 Pin=C1-1
Added Pin To Net: NetName=NetU4_85 Pin=C2-1
Added Pin To Net: NetName=NetU4_85 Pin=C3-1
Added Pin To Net: NetName=NetU4_85 Pin=C4-1
Added Pin To Net: NetName=NetU4_85 Pin=C5-1
Added Pin To Net: NetName=NetU4_85 Pin=C6-1
Added Pin To Net: NetName=NetU4_85 Pin=C7-1
Added Pin To Net: NetName=NetU4_85 Pin=C8-1
Added Pin To Net: NetName=NetU4_85 Pin=C9-1
Added Pin To Net: NetName=NetU4_85 Pin=C10-1
Added Pin To Net: NetName=NetU4_85 Pin=C11-1
Added Pin To Net: NetName=NetU4_85 Pin=C12-1
Added Pin To Net: NetName=NetU4_85 Pin=C13-1
Added Pin To Net: NetName=NetU4_85 Pin=C14-1
Added Pin To Net: NetName=NetU4_85 Pin=C15-1
Added Pin To Net: NetName=NetU4_85 Pin=C16-2
Added Pin To Net: NetName=NetU4_85 Pin=C17-1
Added Pin To Net: NetName=NetU4_85 Pin=C18-1
Added Pin To Net: NetName=NetU4_85 Pin=C19-1
Added Pin To Net: NetName=NetU4_85 Pin=C20-1
Added Pin To Net: NetName=NetU4_85 Pin=C21-1
Added Pin To Net: NetName=NetU4_85 Pin=C22-1
Added Pin To Net: NetName=NetU4_85 Pin=C23-1
Added Pin To Net: NetName=NetU4_85 Pin=C24-1
Added Pin To Net: NetName=NetU4_85 Pin=C25-1
Added Pin To Net: NetName=NetU4_85 Pin=C26-1
Added Pin To Net: NetName=NetU4_85 Pin=C28-1
Added Pin To Net: NetName=NetU4_85 Pin=C29-1
Added Pin To Net: NetName=NetU4_85 Pin=C30-1
Added Pin To Net: NetName=NetU4_85 Pin=C31-1
Added Pin To Net: NetName=NetU4_85 Pin=C32-1
Added Pin To Net: NetName=NetU4_85 Pin=IC1-1
Added Pin To Net: NetName=NetU4_85 Pin=IC1-2
Added Pin To Net: NetName=NetU4_85 Pin=IC1-3
Added Pin To Net: NetName=NetU4_85 Pin=IC1-4
Added Pin To Net: NetName=NetU4_85 Pin=P1-1
Added Pin To Net: NetName=NetU4_85 Pin=Q1-3
Added Pin To Net: NetName=NetU4_85 Pin=Q2-3
Added Pin To Net: NetName=NetU4_85 Pin=R10-1
Added Pin To Net: NetName=NetU4_85 Pin=U2-9
Added Pin To Net: NetName=NetU4_85 Pin=U3-8
Added Pin To Net: NetName=NetU4_85 Pin=U3-23
Added Pin To Net: NetName=NetU4_85 Pin=U3-47
Added Pin To Net: NetName=NetU4_85 Pin=U4-111
Added Pin To Net: NetName=NetU4_85 Pin=U4-112
Added Pin To Net: NetName=NetU4_85 Pin=U5-8
Added Pin To Net: NetName=NetU4_85 Pin=U5-9
Added Pin To Net: NetName=NetU4_85 Pin=U5-19
Added Pin To Net: NetName=NetU4_85 Pin=U5-22
Added Pin To Net: NetName=NetU4_85 Pin=U5-36
Added Pin To Net: NetName=NetU4_85 Pin=U5-46
Added Pin To Net: NetName=NetU4_85 Pin=U5-48
Added Pin To Net: NetName=NetU4_85 Pin=U5-50
Added Pin To Net: NetName=NetU4_85 Pin=U5-51
Added Pin To Net: NetName=NetU4_85 Pin=U5-52
Added Pin To Net: NetName=NetU4_85 Pin=U5-53
Added Pin To Net: NetName=NetU4_85 Pin=U5-54
Added Pin To Net: NetName=NetU4_85 Pin=U5-56
Added Pin To Net: NetName=NetU4_85 Pin=U5-72
Added Pin To Net: NetName=NetU4_85 Pin=U6-1
Added Pin To Net: NetName=NetU4_85 Pin=U6-8
Added Pin To Net: NetName=NetU4_85 Pin=U7-2
Added Pin To Net: NetName=NetU4_85 Pin=U8-2
Added Pin To Net: NetName=NetU4_85 Pin=U9-8
Change Net Name : Old Net Name=NetU4_85 New Net Name=GND
Added Pin To Net: NetName=I2C_SCL Pin=U6-14
Added Net: Name=I2C_SCL
Added Pin To Net: NetName=I2C_SDA Pin=U6-15
Added Net: Name=I2C_SDA
Added Pin To Net: NetName=NetC16_1 Pin=C16-1
Added Pin To Net: NetName=NetC16_1 Pin=U6-16
Added Net: Name=NetC16_1
Added Pin To Net: NetName=NetC17_2 Pin=C17-2
Added Pin To Net: NetName=NetC17_2 Pin=C18-2
Added Pin To Net: NetName=NetC17_2 Pin=U7-1
Added Pin To Net: NetName=NetC17_2 Pin=U7-3
Added Net: Name=NetC17_2
Added Pin To Net: NetName=NetC19_2 Pin=C19-2
Added Pin To Net: NetName=NetC19_2 Pin=U7-4
Added Net: Name=NetC19_2
Added Pin To Net: NetName=NetC20_2 Pin=C20-2
Added Pin To Net: NetName=NetC20_2 Pin=U8-4
Added Net: Name=NetC20_2
Added Pin To Net: NetName=NetC21_2 Pin=C21-2
Added Pin To Net: NetName=NetC21_2 Pin=U8-3
Added Net: Name=NetC21_2
Added Pin To Net: NetName=NetC22_2 Pin=C22-2
Added Pin To Net: NetName=NetC22_2 Pin=C23-2
Added Pin To Net: NetName=NetC22_2 Pin=C24-2
Added Pin To Net: NetName=NetC22_2 Pin=C25-2
Added Pin To Net: NetName=NetC22_2 Pin=C26-2
Added Pin To Net: NetName=NetC22_2 Pin=C28-2
Added Pin To Net: NetName=NetC22_2 Pin=C29-2
Added Pin To Net: NetName=NetC22_2 Pin=C30-2
Added Pin To Net: NetName=NetC22_2 Pin=C31-2
Added Pin To Net: NetName=NetC22_2 Pin=C32-2
Added Pin To Net: NetName=NetC22_2 Pin=U9-6
Added Net: Name=NetC22_2
Added Pin To Net: NetName=NetC27_2 Pin=C27-2
Added Pin To Net: NetName=NetC27_2 Pin=U9-3
Added Net: Name=NetC27_2
Added Pin To Net: NetName=NetJ1_2 Pin=J1-2
Added Pin To Net: NetName=NetJ1_2 Pin=K7-4
Added Net: Name=NetJ1_2
Added Pin To Net: NetName=NetJ1_3 Pin=J1-3
Added Pin To Net: NetName=NetJ1_3 Pin=K6-4
Added Net: Name=NetJ1_3
Added Pin To Net: NetName=NetJ1_4 Pin=J1-4
Added Pin To Net: NetName=NetJ1_4 Pin=K5-4
Added Net: Name=NetJ1_4
Added Pin To Net: NetName=NetJ1_5 Pin=J1-5
Added Pin To Net: NetName=NetJ1_5 Pin=K4-4
Added Net: Name=NetJ1_5
Added Pin To Net: NetName=NetJ1_6 Pin=J1-6
Added Pin To Net: NetName=NetJ1_6 Pin=K3-4
Added Net: Name=NetJ1_6
Added Pin To Net: NetName=NetJ1_7 Pin=J1-7
Added Pin To Net: NetName=NetJ1_7 Pin=K2-4
Added Net: Name=NetJ1_7
Added Pin To Net: NetName=NetJ1_8 Pin=J1-8
Added Pin To Net: NetName=NetJ1_8 Pin=K1-4
Added Net: Name=NetJ1_8
Added Pin To Net: NetName=NetJ3_7 Pin=J3-7
Added Pin To Net: NetName=NetJ3_7 Pin=J3-8
Added Net: Name=NetJ3_7
Added Pin To Net: NetName=NetK1_3 Pin=K1-3
Added Pin To Net: NetName=NetK1_3 Pin=K2-3
Added Pin To Net: NetName=NetK1_3 Pin=K3-3
Added Pin To Net: NetName=NetK1_3 Pin=K4-3
Added Pin To Net: NetName=NetK1_3 Pin=K5-3
Added Pin To Net: NetName=NetK1_3 Pin=K6-3
Added Pin To Net: NetName=NetK1_3 Pin=K7-3
Added Net: Name=NetK1_3
Added Pin To Net: NetName=NetLabel8 Pin=J3-4
Added Net: Name=NetLabel8
Added Pin To Net: NetName=NetLabel10 Pin=J3-6
Added Net: Name=NetLabel10
Added Pin To Net: NetName=NetLabel30 Pin=R8-1
Added Pin To Net: NetName=NetLabel30 Pin=U3-21
Added Net: Name=NetLabel30
Added Pin To Net: NetName=NetLabel31 Pin=R9-1
Added Pin To Net: NetName=NetLabel31 Pin=U3-22
Added Net: Name=NetLabel31
Added Pin To Net: NetName=NetLabel32 Pin=U1-11
Added Net: Name=NetLabel32
Added Pin To Net: NetName=NetLabel33 Pin=U1-12
Added Net: Name=NetLabel33
Added Pin To Net: NetName=NetLabel34 Pin=U1-13
Added Net: Name=NetLabel34
Added Pin To Net: NetName=NetLabel35 Pin=U1-14
Added Net: Name=NetLabel35
Added Pin To Net: NetName=NetLabel36 Pin=U1-4
Added Net: Name=NetLabel36
Added Pin To Net: NetName=NetLabel37 Pin=U1-5
Added Net: Name=NetLabel37
Added Pin To Net: NetName=NetLabel38 Pin=U1-6
Added Net: Name=NetLabel38
Added Pin To Net: NetName=NetR6_2 Pin=R6-2
Added Pin To Net: NetName=NetR6_2 Pin=R7-2
Added Net: Name=NetR6_2
Added Pin To Net: NetName=NetR8_2 Pin=R8-2
Added Pin To Net: NetName=NetR8_2 Pin=R9-2
Added Net: Name=NetR8_2
Added Pin To Net: NetName=NetR10_2 Pin=R10-2
Added Pin To Net: NetName=NetR10_2 Pin=U8-5
Added Net: Name=NetR10_2
Added Pin To Net: NetName=NetU2_1 Pin=U2-1
Added Pin To Net: NetName=NetU2_1 Pin=U6-4
Added Net: Name=NetU2_1
Added Pin To Net: NetName=NetU2_2 Pin=U2-2
Added Pin To Net: NetName=NetU2_2 Pin=U6-5
Added Net: Name=NetU2_2
Added Pin To Net: NetName=NetU2_3 Pin=U2-3
Added Pin To Net: NetName=NetU2_3 Pin=U6-6
Added Net: Name=NetU2_3
Added Pin To Net: NetName=NetU2_4 Pin=U2-4
Added Pin To Net: NetName=NetU2_4 Pin=U6-7
Added Net: Name=NetU2_4
Added Pin To Net: NetName=NetU2_5 Pin=U2-5
Added Pin To Net: NetName=NetU2_5 Pin=U6-9
Added Net: Name=NetU2_5
Added Pin To Net: NetName=NetU2_6 Pin=U2-6
Added Pin To Net: NetName=NetU2_6 Pin=U6-10
Added Net: Name=NetU2_6
Added Pin To Net: NetName=NetU2_7 Pin=U2-7
Added Pin To Net: NetName=NetU2_7 Pin=U6-11
Added Net: Name=NetU2_7
Added Pin To Net: NetName=SENSOR_1 Pin=C14-2
Added Pin To Net: NetName=SENSOR_1 Pin=Q1-4
Added Pin To Net: NetName=SENSOR_1 Pin=R6-1
Added Net: Name=SENSOR_1
Added Pin To Net: NetName=SENSOR_2 Pin=C15-2
Added Pin To Net: NetName=SENSOR_2 Pin=Q2-4
Added Pin To Net: NetName=SENSOR_2 Pin=R7-1
Added Net: Name=SENSOR_2
Added Pin To Net: NetName=SIM_CLK Pin=J3-3
Added Net: Name=SIM_CLK
Added Pin To Net: NetName=SIM_VCC Pin=J3-1
Added Net: Name=SIM_VCC
Added Pin To Net: NetName=SW_1 Pin=U3-19
Added Net: Name=SW_1
Added Pin To Net: NetName=SW_2 Pin=U3-18
Added Net: Name=SW_2
Added Pin To Net: NetName=SW_3 Pin=U3-17
Added Net: Name=SW_3
Added Pin To Net: NetName=SW_4 Pin=U3-16
Added Net: Name=SW_4
Added Pin To Net: NetName=SW_5 Pin=U3-15
Added Net: Name=SW_5
Added Pin To Net: NetName=UART_RX Pin=U3-13
Added Net: Name=UART_RX
Added Pin To Net: NetName=UART_TX Pin=U3-12
Added Net: Name=UART_TX
Added Class: Name=LCA_V2_power
Added Member To Class: ClassName=LCA_V2 Member=Component C14 0.1 µF
Added Member To Class: ClassName=LCA_V2 Member=Component C15 0.1 µF
Added Member To Class: ClassName=LCA_V2 Member=Component C16 0.1 µF
Added Member To Class: ClassName=LCA_GSM Member=Component D1 SRV05-4.TCT
Added Member To Class: ClassName=LCA_V2 Member=Component R6 10 kOhms
Added Member To Class: ClassName=LCA_V2 Member=Component R7 10 kOhms
Added Member To Class: ClassName=LCA_V2 Member=Component R8 10 kOhms
Added Member To Class: ClassName=LCA_V2 Member=Component R9 10 kOhms
Added Member To Class: ClassName=LCA_V2 Member=Component U6 PCF8574T/3,518
